기관명,기관명(영문),소속기관,기관 구분,학술지한글명,학술지외국어명,P-ISSN,E-ISSN,대분류,중분류,사용언어,등재구분,창간년도,발행간기
법학연구소,The Institute of Legal Studies Konkuk University,건국대학교,대학부설연구소,일감법학,Ilkam Law Review,1975-9789,,사회과학,법학,한국어,등재,199608,연3회
법학연구소,The Institute of Legal Studies Konkuk University,건국대학교,대학부설연구소,일감부동산법학,Ilkam Real Estate Law Review,1976-4324,,사회과학,법학,한국어,등재,200709,연2회
한국입법학회,Korean Society of legislation Studies,,학회,입법학연구,Journal of Legislation Studies,1229-9251,,사회과학,법학,한국어,등재,200010,연2회
한국재산법학회,THE KOREAN SOCIETY OF PROPERTY LAW,,학회,재산법연구,THE JOURNAL OF PROPERTY LAW,1229-3962,,사회과학,법학,한국어,등재,1984,연4회
한국재정법학회,Korea Public Finance Law Association,,학회,재정법연구,The journal of Public Finance Law,2005-9930,,사회과학,법학,한국어,등재후보,200806,연2회
한국법학원,Korean Society of Law,,일반기관,저스티스,The Justice,1598-8015,2671-5309,사회과학,법학,한국어,등재,195710,연6회
한국정보법학회,Korea Association For Info-Media Law(Kafil),,학회,정보법학,Journal of Korea Infomation Law,1598-5911,,사회과학,법학,한국어,등재,1997,연3회
한국조세법학회,KOREAN SOCIETY OF TAX LAW,,학회,조세논총,The Korean Journal of Taxation,2508-6707,,사회과학,법학,한국어,등재,2016,연4회
한국세법학회,Tax Law Association,,학회,조세법연구,Seoul Tax Law  Review,1598-4796,,사회과학,법학,한국어,등재,1995,연3회
한국조세연구포럼,Korea Tax Research Forum,,학회,조세연구,,2287-1845,2733-9645,사회과학,법학,한국어,등재,2001,연4회
서울시립대학교 법학연구소,Law Research Institute in University of Seoul ,서울시립대학교,대학부설연구소,조세와 법,TAX and LAW,2005-1301,,사회과학,법학,한국어,등재,200806,연2회
한국국제조세협회,"International  Fiscal Association, Korea",,학회,조세학술논집,"Journal of IFA, Korea",1598-477X,,사회과학,법학,한국어,등재,1984,연3회
한중법학회,The Korea-China Society of Law,,학회,중국법연구,Chinese Law Review,1738-7051,,사회과학,법학,한국어,등재,1997,연3회
중앙법학회,Chung-Ang Law Association,,학회,중앙법학,CHUNG_ANG LAW REVIEW,1598-558X,,사회과학,법학,한국어,등재,1999,연4회
한국증권법학회,Korea Securities Law Association,,학회,증권법연구,The Korean Journal of Securities Law,1598-0448,,사회과학,법학,한국어,등재,200012,연3회
한국지방세학회,Korea Local Tax Association,,학회,지방세논집,Local Tax Review,2383-580X,2733-9491,사회과학,법학,한국어,등재,201405,연3회
한국지방자치법학회,Korean Local Government Law Assosition,,학회,지방자치법연구,Local Government Law Journal,1598-6128,,사회과학,법학,한국어,등재,200109,연4회
한국지식재산연구원,Korea Institute of Intellectual Property,,학회,지식재산연구,Journal of Intellectual Property,1975-5945,2733-8487,사회과학,법학,한국어,등재,200606,연4회
한국집합건물법학회, Korean Association of Aggregate Building Law,,학회,집합건물법학,The Korean Aggregate Buildings Law,2005-1247,,사회과학,법학,한국어,등재,2008,연4회
한국토지공법학회,Korean Public Land Law Association,,학회,토지공법연구,Public Land Law Review,1226-251X,2733-8371,사회과학,법학,한국어,등재,199504,연4회
한국토지법학회,Korea Land Law Studies Association,,학회,토지법학,LAND LAW REVIEW,1226-2927,,사회과학,법학,한국어,등재,1985,연2회
법무부,Ministry of Justice,,학회,통일과 법률,Unification & Law,2093-1859,2713-6124,사회과학,법학,한국어,등재,201002,연4회
한국피해자학회,Korean Association Of Victimology,,학회,피해자학연구,Korean Journal of Victimology,1229-2923,,사회과학,법학,한국어,등재,199211,연3회
한국의료법학회,,,학회,한국의료법학회지,Korean Journal of Medicine and Law,1598-9178,,사회과학,법학,한국어,등재,1996,연2회
